day,hour,minute,driver,duration
0,22,15,60,585
0,22,15,61,585
0,22,15,69,585
0,22,15,70,585
0,22,30,50,585
0,22,30,58,585
0,22,30,60,585
0,22,30,61,585
0,22,30,70,585
0,22,45,50,585
0,22,45,60,585
0,22,45,61,585
0,22,45,70,585
0,23,0,50,585
0,23,0,60,585
0,23,0,70,585
0,23,15,60,585
0,23,15,70,585
0,23,30,70,585
